time,CO2,temp,rh
2021-03-14 23:36:16,731.71,23.79,55.47
2021-03-14 23:36:20,729.62,23.82,55.44
2021-03-15 21:06:23,12941.42,25.68,80.32
2021-03-15 21:07:23,13749.97,25.69,80.26
2021-03-15 21:08:21,14515.53,25.69,80.37
2021-03-15 21:09:32,15198.78,25.68,80.50
2021-03-15 21:10:32,15946.76,25.66,80.69
2021-03-15 21:11:32,16551.81,25.66,80.88
2021-03-15 21:12:32,17252.52,25.65,81.09
2021-03-15 21:30:32,17252.52,25.65,81.09
2021-03-15 21:50:32,17252.52,25.65,81.09
